,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
13,Ancient_Egypt_-_Day_10,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Ra Zombie', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy']",['Camel Zombies'],"['Mummy Zombie', 'Mummy Zombie', 'Ra Zombie', 'Plant Food']",['Tomb Raiser Zombie'],"['Conehead Mummy', 'Flag Mummy Zombie', 'Ra Zombie', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Plant Food']","['Mummy Zombie', 'Ra Zombie', 'Tomb Raiser Zombie']","['Camel Zombies', 'Camel Zombies']","['Conehead Mummy', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Conehead Mummy', 'Ra Zombie', 'Tomb Raiser Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Tomb Raiser Zombie', 'Plant Food']","['Conehead Mummy', 'Conehead Mummy', 'Flag Mummy Zombie', 'Camel Zombies', 'Tomb Raiser Zombie', 'Tomb Raiser Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ancient_Egypt_-_Day_11,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy']","['Conehead Mummy', 'Conehead Mummy']",['Camel Zombies'],"['Mummy Zombie', 'Mummy Zombie', 'Flag Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Plant Food']","['Buckethead Mummy', 'Ra Zombie']","['Mummy Zombie', 'Buckethead Mummy', 'Ra Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Ra Zombie', 'Ra Zombie']","['Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Buckethead Mummy', 'Ra Zombie', 'Ra Zombie', 'Ra Zombie']","['Buckethead Mummy', 'Flag Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ancient_Egypt_-_Day_12,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Ra Zombie']","['Conehead Mummy', 'Plant Food']","['Conehead Mummy', 'Ra Zombie']",['Pharaoh Zombie'],"['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Flag Mummy Zombie', 'Ra Zombie', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Ra Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Camel Zombies', 'Camel Zombies']","['Buckethead Mummy', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Conehead Mummy', 'Ra Zombie', 'Tomb Raiser Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Buckethead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Tomb Raiser Zombie']","['Flag Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Tomb Raiser Zombie', 'Tomb Raiser Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ancient_Egypt_-_Day_13,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie']","['Conehead Mummy', 'Plant Food']",['Camel Zombies'],"['Mummy Zombie', 'Conehead Mummy', 'Ra Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Plant Food']",['Camel Zombies'],"['Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Plant Food']","['Flag Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ancient_Egypt_-_Day_14,[],['Mummy Zombie'],['Mummy Zombie'],"['Ra Zombie', 'Ra Zombie']","['Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Tomb Raiser Zombie', 'Plant Food']","['Conehead Mummy', 'Conehead Mummy', 'Ra Zombie']","['Mummy Zombie', 'Flag Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Ra Zombie', 'Tomb Raiser Zombie', 'Plant Food']","['Conehead Mummy', 'Pharaoh Zombie']","['Conehead Mummy', 'Ra Zombie', 'Tomb Raiser Zombie', 'Tomb Raiser Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Conehead Mummy', 'Pharaoh Zombie']","['Conehead Mummy', 'Ra Zombie', 'Tomb Raiser Zombie', 'Tomb Raiser Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Ra Zombie', 'Pharaoh Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Camel Zombies']","['Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Tomb Raiser Zombie', 'Plant Food']","['Conehead Mummy', 'Conehead Mummy', 'Flag Mummy Zombie', 'Camel Zombies', 'Camel Zombies', 'Tomb Raiser Zombie', 'Tomb Raiser Zombie', 'Pharaoh Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ancient_Egypt_-_Day_15,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy']","['Ra Zombie', 'Ra Zombie', 'Ra Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Camel Zombies']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Flag Mummy Zombie', 'Pharaoh Zombie', 'Plant Food']","['Ra Zombie', 'Camel Zombies']","['Mummy Zombie', 'Conehead Mummy', 'Ra Zombie']","['Mummy Zombie', 'Conehead Mummy', 'Buckethead Mummy', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Pharaoh Zombie', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Ra Zombie', 'Ra Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Camel Zombies', 'Pharaoh Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Buckethead Mummy', 'Ra Zombie', 'Pharaoh Zombie']","['Flag Mummy Zombie', 'Pharaoh Zombie', 'Pharaoh Zombie', 'Pharaoh Zombie', 'Pharaoh Zombie', 'Pharaoh Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ancient_Egypt_-_Day_16,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Ra Zombie', 'Ra Zombie', 'Ra Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Flag Mummy Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Pharaoh Zombie', 'Pharaoh Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Explorer Zombie', 'Plant Food']","['Mummy Zombie', 'Ra Zombie', 'Explorer Zombie']","['Buckethead Mummy', 'Ra Zombie']","['Conehead Mummy', 'Buckethead Mummy', 'Explorer Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Explorer Zombie']","['Explorer Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Pharaoh Zombie', 'Pharaoh Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Buckethead Mummy', 'Flag Mummy Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Pharaoh Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ancient_Egypt_-_Day_17,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy']",['Explorer Zombie'],"['Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Mummy Zombie', 'Camel Zombies']","['Mummy Zombie', 'Mummy Zombie', 'Explorer Zombie', 'Plant Food']","['Mummy Zombie', 'Buckethead Mummy', 'Explorer Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Flag Mummy Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ancient_Egypt_-_Day_18,[],"['Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']","['Conehead Mummy', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies']","['Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']","['Buckethead Mummy', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies']","['Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']","['Camel Zombies', 'Camel Zombies', 'Camel Zombies', 'Camel Zombies']","['Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Buckethead Mummy', 'Flag Mummy Zombie', 'Camel Zombies', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ancient_Egypt_-_Day_19,[],['Mummy Zombie'],['Ra Zombie'],"['Mummy Zombie', 'Mummy Zombie', 'Plant Food']","['Mummy Zombie', 'Conehead Mummy']","['Ra Zombie', 'Explorer Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Mummy Zombie', 'Buckethead Mummy']","['Mummy Zombie', 'Ra Zombie', 'Explorer Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Ra Zombie', 'Explorer Zombie', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Buckethead Mummy', 'Flag Mummy Zombie', 'Ra Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ancient_Egypt_-_Day_20,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Ra Zombie', 'Ra Zombie', 'Ra Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Explorer Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Camel Zombies', 'Plant Food']","['Mummy Zombie', 'Ra Zombie', 'Camel Zombies', 'Plant Food']","['Buckethead Mummy', 'Ra Zombie', 'Explorer Zombie']","['Conehead Mummy', 'Buckethead Mummy', 'Camel Zombies', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Flag Mummy Zombie', 'Ra Zombie', 'Explorer Zombie', 'Explorer Zombie', 'Plant Food']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ancient_Egypt_-_Day_21,[],['Mummy Zombie'],['Mummy Zombie'],"['Mummy Zombie', 'Mummy Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Plant Food']","['Ra Zombie', 'Ra Zombie', 'Tomb Raiser Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy']","['Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Tomb Raiser Zombie']","['Mummy Zombie', 'Mummy Zombie', 'Mummy Zombie', 'Camel Zombies', 'Plant Food']","['Mummy Zombie', 'Ra Zombie', 'Camel Zombies']","['Buckethead Mummy', 'Ra Zombie', 'Tomb Raiser Zombie']","['Conehead Mummy', 'Buckethead Mummy', 'Camel Zombies', 'Plant Food']","['Mummy Zombie', 'Mummy Zombie', 'Conehead Mummy', 'Conehead Mummy', 'Flag Mummy Zombie', 'Ra Zombie', 'Ra Zombie', 'Tomb Raiser Zombie', 'Tomb Raiser Zombie', 'Tomb Raiser Zombie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
